residence.status,any.residence,ethnicity,engagement,information.source,more.emails.events,more.emails.governance,clubs.known,clubs.attended,clubs.important,tcm.attendance,tcm.engagement,tcm.ideal.time,tcm.attendance.reasons
Resident,Yes,Asian,2,Facebook (2T2 Group),Neutral,No,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS), Trinity College Historical Society (TCHS), ZoomBike, Trinity College Crafting Club",,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinclusion, Trinity College Outing Society (TCOS), Trinity Against Sexual Assault and Harassment (TASAH)",0,Not applicable - I have never attended a TCM,I would not attend the TCM regardless,I do not attend the TCM because I am not interested in what is discussed
Resident,Yes,White,5,"Facebook (2T2 Group), Facebook (Other), Trin This Week (Email), Email (Other), Word of Mouth",No,Neutral,"Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), Trinity College Fitness and Nutrition Society (TCFNS), Trinity Royale, IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club, Immunology Students Association (IMMSA)","Trinity College Computer Science Club (TrinCS), Trinity College Art Show, Trinity College Outing Society (TCOS), Trinity Royale, Trinity College Multicultural Society (TCMS), Un-Anglican Affairs Committee (UAAC), Junior Arts Patrons (JAPs), Trinity College South Asian Students Society (TCSASS)","Trinity Women in Leadership (TWIL), Trinity College Outing Society (TCOS), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Junior Arts Patrons (JAPs)",7 to 8 ,I leave early but I participate in the discussion,8 PM - current start time,I attend the TCM because I am interested in governance
Non-Resident,Yes,Asian,0,Facebook (Other),Neutral,No,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Chinese Students Association (TCCSA)",,Trinity Women in Leadership (TWIL),0,Not applicable - I have never attended a TCM,I would not attend the TCM regardless,I do not attend the TCM because I am not interested in what is discussed
Non-Resident,"No, I have never lived in residence",Asian,1,Facebook (2T2 Group),Yes,Yes,"IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT)",,"Trinity Women in Leadership (TWIL), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT)",0,Not applicable - I have never attended a TCM,6:00 PM,I do not attend the TCM because I do not know enough about it
Resident,Yes,White,3,"Facebook (2T2 Group), Word of Mouth",Yes,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Arts Council, Trinity College Art Show, James Bond Society (JBS), Trinclusion, Trinity Royale, ZoomBike, Junior Arts Patrons (JAPs)","Trinclusion, Trinity College Learning Intimacy Together (TCLIT)","Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, Trinclusion, Trinity College Learning Intimacy Together (TCLIT)",1,I stay for the whole time but I do not participate in the discussion (only vote/listen),8 PM - current start time,I do not attend the TCM because I do not have time
Non-Resident,Yes,Indigenous,4,Facebook (2T2 Group),No,No,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS), ZoomBike",Trinity Women in Leadership (TWIL),"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Chinese Students Association (TCCSA), Trinity Against Sexual Assault and Harassment (TASAH)",1,I stay for the whole time but I do not participate in the discussion (only vote/listen),7:00 PM,I attend TCMs only when issues are brought up that are extremely important to me
Resident,Yes,White,4,"Facebook (2T2 Group), Word of Mouth",Yes,Yes,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity Fiction Writing Club, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH), Un-Anglican Affairs Committee (UAAC), Trinity College Historical Society (TCHS), Trinity College Trivia Association (TCTA), ZoomBike, Trinity College South Asian Students Society (TCSASS), Trinity College Crafting Club","Trinity Women in Leadership (TWIL), Trinity College Chinese Students Association (TCCSA), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Multicultural Society (TCMS), Trinity College Trivia Association (TCTA), Trinity College South Asian Students Society (TCSASS)","Trinity Women in Leadership (TWIL), Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS), Trinity College Trivia Association (TCTA)",7 to 8 ,I stay for the whole time but I do not participate in the discussion (only vote/listen),7:00 PM,I attend the TCM to stay engaged with the community
Non-Resident,Yes,White,2,"Facebook (2T2 Group), Facebook (Other), Word of Mouth",Neutral,Neutral,"Trinity Women in Leadership (TWIL), Trinity College Art Show, Beyond Sciences Initiative (BSI), James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinity College Chinese Students Association (TCCSA), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS)","Trinity Women in Leadership (TWIL), Trinity College Art Show","Trinity College Computer Science Club (TrinCS), Trinity Women in Leadership (TWIL), Trinity College Art Show, Trinity College Chinese Students Association (TCCSA), Trinity College Learning Intimacy Together (TCLIT)",0,I stay for the whole time but I do not participate in the discussion (only vote/listen),7:00 PM,I attend TCMs only when issues are brought up that are extremely important to me
Non-Resident,Yes,Mixed Race,1,"Facebook (2T2 Group), Trin This Week (Email)",Neutral,No,"Trinity Women in Leadership (TWIL), Trinity College Arts Council, Trinity College Art Show, James Bond Society (JBS), Trinclusion, Trinity College Outing Society (TCOS), Trinity College Learning Intimacy Together (TCLIT)","Trinity Women in Leadership (TWIL), Trinity College Arts Council, Trinity College Art Show","Trinity College Arts Council, Trinity College Outing Society (TCOS), Trinity College Multicultural Society (TCMS), Trinity Against Sexual Assault and Harassment (TASAH)",2 to 4 ,I stay for the whole time but I do not participate in the discussion (only vote/listen),8 PM - current start time,I do not attend the TCM because I feel uncomfortable there
Non-Resident,Yes,White,1,"Facebook (2T2 Group), Trin This Week (Email), Email (Other), Word of Mouth",No,No,"Trinity Women in Leadership (TWIL), Trinity College Jewish Student Society (TCJEWSS), Trinity College Art Show, James Bond Society (JBS), Trinity College Domestic God(esse)s (TCDG), Trinity College Rural Residency Association (TCRRA), Trinclusion, Trinity College Outing Society (TCOS), IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity Against Sexual Assault and Harassment (TASAH), Trinity College Historical Society (TCHS)","Trinity Women in Leadership (TWIL), Trinclusion","Trinity Women in Leadership (TWIL), Trinclusion, IR Society (IRSOC), Trinity College Learning Intimacy Together (TCLIT), Trinity College Historical Society (TCHS)",0,I stay for the whole time but I do not participate in the discussion (only vote/listen),I would not attend the TCM regardless,I do not attend the TCM because I feel uncomfortable there
